videoId,title,description,publishedAt,channel_id
In1RWd24Ay8,2019.12.17 テレビで中国語,,2019-12-17 17:44:55+00:00,UCiPWgxymXUATul-vG_Jzhsw
4u9Hsm8fd9E,2019.12.09 テレビで中国語,2019.12.09 テレビで中国語.,2019-12-12 14:26:51+00:00,UCiPWgxymXUATul-vG_Jzhsw
FduV_9fc6YM,2019.12.02 テレビで中国語,2019.12.02 テレビで中国語.,2019-12-12 12:58:58+00:00,UCiPWgxymXUATul-vG_Jzhsw
Ip5wjrTbVRw,2019.11.19 テレビで中国語,,2019-12-11 23:04:52+00:00,UCiPWgxymXUATul-vG_Jzhsw
0gFTZg-mqOA,[復習]2019.10.29 テレビで中国語,[復習]2019.10.29 テレビで中国語 前回の復習です！！,2019-10-30 02:00:24+00:00,UCiPWgxymXUATul-vG_Jzhsw
C1gmqGMBTKQ,2019.10.08 テレビで中国語,2019.10.08 テレビで中国語.,2019-10-27 22:57:41+00:00,UCiPWgxymXUATul-vG_Jzhsw
b_kb0KC65Aw,2019.10.22 テレビで中国語,2019.10.22 テレビで中国語.,2019-10-22 23:19:50+00:00,UCiPWgxymXUATul-vG_Jzhsw
kftqFN--F8s,2019.10.15 テレビで中国語,2019.10.15 テレビで中国語.,2019-10-18 13:24:09+00:00,UCiPWgxymXUATul-vG_Jzhsw
AdCnlWK4YxQ,2019.10.01 テレビで中国語,2019.10.01 テレビで中国語.,2019-10-01 21:20:04+00:00,UCiPWgxymXUATul-vG_Jzhsw
6NJNFkzG6lg,2019.09.25 テレビで中国語,2019.09.25 テレビで中国語.,2019-09-25 00:00:36+00:00,UCiPWgxymXUATul-vG_Jzhsw
1Z5-KJFvl9E,2019.09.17 テレビで中国語,2019.09.17 テレビで中国語.,2019-09-18 01:07:46+00:00,UCiPWgxymXUATul-vG_Jzhsw
CBVJaQoAogw,2019.09.10 テレビで中国語,2019.09.10 テレビで中国語.,2019-09-12 00:16:21+00:00,UCiPWgxymXUATul-vG_Jzhsw
0ZKqnnehHPc,2019.08.27 テレビで中国語,2019.08.27 テレビで中国語.,2019-08-29 00:41:17+00:00,UCiPWgxymXUATul-vG_Jzhsw
yFbVk-3Puxk,2019.08.20 テレビで中国語,2019.08.20 テレビで中国語.,2019-08-24 00:55:17+00:00,UCiPWgxymXUATul-vG_Jzhsw
B4fOUmXdF3o,2019.08.13 テレビで中国語,2019.08.13 テレビで中国語.,2019-08-15 01:54:09+00:00,UCiPWgxymXUATul-vG_Jzhsw
ucDpy3TU6nU,2019.08.06 テレビで中国語,2019.08.06 テレビで中国語.,2019-08-06 23:53:24+00:00,UCiPWgxymXUATul-vG_Jzhsw
_80CuisjUmY,雪肌精×VOCE 新垣結衣さんスペシャルムービーin沖縄,雪肌精×VOCE 新垣結衣さんスペシャルムービーin沖縄.,2019-08-03 03:30:04+00:00,UCiPWgxymXUATul-vG_Jzhsw
xbIFHFpMLl0,2019.07.30 テレビで中国語,2019.07.30 テレビで中国語.,2019-07-30 22:50:44+00:00,UCiPWgxymXUATul-vG_Jzhsw
VC8GMATBSyA,2019.07.23 テレビで中国語,2019.07.23 テレビで中国語.,2019-07-24 00:47:49+00:00,UCiPWgxymXUATul-vG_Jzhsw
8xVWveE8oBE,2019.07.19  新垣結衣 BIOLISS,2019.07.19 新垣結衣 BIOLISS.,2019-07-19 14:10:41+00:00,UCiPWgxymXUATul-vG_Jzhsw
4eyTX4SEIJY,2019.07.16 テレビで中国語,2019.07.16 テレビで中国語.,2019-07-18 00:54:32+00:00,UCiPWgxymXUATul-vG_Jzhsw
s6ygKO58H34,2019.07.09 テレビで中国語,2019.07.09 テレビで中国語.,2019-07-09 20:05:38+00:00,UCiPWgxymXUATul-vG_Jzhsw
xo7J2Q48Z6o,2019.07.02 テレビで中国語,2019.07.02 テレビで中国語.,2019-07-03 13:50:29+00:00,UCiPWgxymXUATul-vG_Jzhsw
X2gTZw7dQ_8,[申し訳ございません/半分しか無いです] 2019 06 18 テレビで中国語,申し訳ございません/半分しか無いですORZ.,2019-06-27 14:08:40+00:00,UCiPWgxymXUATul-vG_Jzhsw
uTQAAT_HW48,2019.06.25 テレビで中国語,2019.06.25 テレビで中国語.,2019-06-26 00:33:32+00:00,UCiPWgxymXUATul-vG_Jzhsw
6lltMohZy04,2019.06.11 テレビで中国語,2019.06.11 テレビで中国語.,2019-06-11 19:51:58+00:00,UCiPWgxymXUATul-vG_Jzhsw
ljt6oARYNa8,2019.06.04 テレビで中国語,2019.06.04 テレビで中国語.,2019-06-04 23:51:19+00:00,UCiPWgxymXUATul-vG_Jzhsw
1mpmLCkxRbA,2019.05.28 石原里美,2019.05.28 石原里美.,2019-06-03 17:33:16+00:00,UCiPWgxymXUATul-vG_Jzhsw
-whagacrWD0,2019.05.21 テレビで中国語,2019.05.21 テレビで中国語.,2019-05-27 13:25:54+00:00,UCiPWgxymXUATul-vG_Jzhsw
Yg40CiSu7HE,2019.05.07 テレビで中国語,2019.05.07 テレビで中国語.,2019-05-08 14:27:32+00:00,UCiPWgxymXUATul-vG_Jzhsw
OIvkMGewxM0,2019.04.30 テレビで中国語,2019.04.30 テレビで中国語.,2019-05-01 01:26:38+00:00,UCiPWgxymXUATul-vG_Jzhsw
cOVEua61odw,2019.04.24 テレビで中国語,2019.04.24 テレビで中国語.,2019-04-23 21:45:27+00:00,UCiPWgxymXUATul-vG_Jzhsw
ZJl2HYzNunQ,2019.04.16 テレビで中国語,2019.04.16 テレビで中国語.,2019-04-17 23:54:19+00:00,UCiPWgxymXUATul-vG_Jzhsw
yFNWmY5S7vw,2019.04.09 テレビで中国語,2019.04.09 テレビで中国語.,2019-04-10 00:57:03+00:00,UCiPWgxymXUATul-vG_Jzhsw
Og5XwpeyEfA,2019.03.19 テレビで中国語,2019.03.19 テレビで中国語.,2019-03-20 01:30:02+00:00,UCiPWgxymXUATul-vG_Jzhsw
JgGRZc4PesE,2019.03.05 テレビで中国語,2019.03.05 テレビで中国語.,2019-03-06 08:04:05+00:00,UCiPWgxymXUATul-vG_Jzhsw
wva_2AgeuB4,2019.03.01-お〜いお茶 有村架純,2019.03.01-お〜いお茶有村架純.,2019-03-01 15:41:55+00:00,UCiPWgxymXUATul-vG_Jzhsw
eD4wXPDGczQ,2019.02.26 テレビで中国語,2019.02.26 テレビで中国語.,2019-02-27 13:58:21+00:00,UCiPWgxymXUATul-vG_Jzhsw
3IFFtgeI3fs,2019.02.19 テレビで中国語,2019.02.19 テレビで中国語.,2019-02-20 15:44:11+00:00,UCiPWgxymXUATul-vG_Jzhsw
yue7i7Nv8k0,2019.02.12 テレビで中国語,2019.02.12 テレビで中国語.,2019-02-13 01:26:25+00:00,UCiPWgxymXUATul-vG_Jzhsw
Ah0RHH0cMs4,2019.01.31 石原里美 FLAIR,2019.01.31 石原里美FLAIR.,2019-01-31 13:03:21+00:00,UCiPWgxymXUATul-vG_Jzhsw
QHS9ZfF9qmk,2019.01.29 テレビで中国語,2019.01.29 テレビで中国語.,2019-01-30 00:20:29+00:00,UCiPWgxymXUATul-vG_Jzhsw
t0Qpki4SSHs,2019 01 15 テレビで中国語,2019.01.15 テレビで中国語.,2019-01-15 23:51:40+00:00,UCiPWgxymXUATul-vG_Jzhsw
8MEITaIVQlo,2019 01 08 テレビで中国語,2019 01 08 テレビで中国語 あけましておめでうございます！！ 一起中囯語加油吧～！！,2019-01-09 01:34:04+00:00,UCiPWgxymXUATul-vG_Jzhsw
m5hEeowBqO4,2018.12.25 テレビで中国語,2018.12.25 テレビで中国語.,2018-12-25 23:59:31+00:00,UCiPWgxymXUATul-vG_Jzhsw
XDyxioxT1wk,2018.12.04 テレビで中国語,2018.12.04 テレビで中国語.,2018-12-04 18:28:36+00:00,UCiPWgxymXUATul-vG_Jzhsw
5u_W2dH7nvU,2018.11.27 テレビで中国語,2018.11.27 テレビで中国語 *今週の放送内容は先週と同じです！一緒に復習しましょう！！,2018-11-28 18:32:45+00:00,UCiPWgxymXUATul-vG_Jzhsw
kC1Ry4_vNgc,2018.11.20 テレビで中国語,2018.11.20 テレビで中国語.,2018-11-20 22:00:35+00:00,UCiPWgxymXUATul-vG_Jzhsw
kucTtna3-ig,2018.11.13 テレビで中国語,2018.11.13 テレビで中国語.,2018-11-14 14:01:34+00:00,UCiPWgxymXUATul-vG_Jzhsw
Hx85xaor_gQ,2018.11.06 テレビで中国語,2018.11.06 テレビで中国語.,2018-11-06 18:26:00+00:00,UCiPWgxymXUATul-vG_Jzhsw
